Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
"Darmar, Nepali Dhaniya",Zanthoxylum acanthopodiumÊDC.,RUTACEAE,,,,,,,,
"Timbur, Timur",Zanthoxylum armatumÊDC.,RUTACEAE,,,,,,,,
Tezamul (Assam),Zanthoxylum nitidumÊ(Roxb.) DC.,RUTACEAE,,,,,,,,
Armadalu (Kan.),Zanthoxylum ovalifoliumÊWight,RUTACEAE,,,,,,,,
Mezenga (Assam),Zanthoxylum oxyphyllumÊEdgew.,RUTACEAE,,,,,,,,
Badrang,Zanthoxylum rhetsaÊ(Roxb.) DC.,RUTACEAE,,,,,,,,
Saatar (Urdu),Zataria multifloraÊBoiss.,LAMIACEAE,,,,,,,,
Swethuli (Beng.),Zeuxine strateumaticaÊ(L.) Schltr.,ORCHIDACEAE,,,,,,,,
Ban-ada,Zingiber montanumÊ(Koen.) Link ex A.Dietr.,ZINGIBERACEAE,,,,,,,,
Adrak,Zingiber officinaleÊRoscoe,ZINGIBERACEAE,,,,,,,,
Gada (Local Name),Zingiber zerumbetÊ(L.) Sm.,ZINGIBERACEAE,,,,,,,,
Vatadalla (Sans.),Ziziphus glabrataÊHeyne ex Roth,RHAMNACEAE,,,,,,,,
"Pitni-ber, kandika",Ziziphus jujubaÊMill.,RHAMNACEAE,,,,,,,,
"Baer, Ber",Ziziphus mauritianaÊLam.,RHAMNACEAE,,,,,,,,
Jharberi,Ziziphus nummulariaÊ(Burm.f.) Wight & Arn.,RHAMNACEAE,,,,,,,,
Makai,Ziziphus oenopliaÊ(L.) Mill.,RHAMNACEAE,,,,,,,,
Churna,Ziziphus rugosaÊLam.,RHAMNACEAE,,,,,,,,
Samrapani (Guj.),Zornia gibbosaÊSpan.,FABACEAE,,,,,,,,
Alethi (Punjab),Zygophyllum simplexÊL.,ZYGOPHYLLACEAE,,,,,,,,
ÊKhumtiangkohha,Phlogacanthus thyrsiformis,Acanthaceae,North-East India Medicinal Plants Database,"Abdominal pain
Ulcer",Root,Paste applied topically,Assam,"Betulic acid
Lupeol
Vasicine
pyrroloquinazoline Alkaloid.
_-Sitosterol","Saikia, D; et al. Phytochemical screening and antioxidant activity of leaf extract of Phlogacanthus thyrsiflorus Nees.-a medicinal plant of Assam, India. Biosci Discov 9.2: 237-43, 2018.
",O
ÊChikkpa,Phlogacanthus thyrsiflorus,Acanthaceae,North-East India Medicinal Plants Database,"Abdominal pain
Asthma
Cough/Cold
Fever",Flower,Decoction taken orally,Manipur,"(-)-Bilobalide
1-naphthalenecarboxaldehyde
19 Ðhydroxy-labda 8(17),13-diene-15,16-olide
2-hydroxy
Aritmina
Aspidocarpine
Betulic acid
Harmine
Hydroquinidine
L-Histidine
Phlogantholide
Phlogantholide-A
Sparteine
Terbutylazine-2-hydroxy
ent-labd-8(17),13-dien-15,16-olide-19-oic acid (pinusolidic acid)
phlogantholide-A-19-O-_-d-glucopyranoside
_, 15,18 -trihydroxy-ent-labd-8(17),13-dien-16-oic lactone","Saikia, D; et al. Phytochemical screening and antioxidant activity of leaf extract of Phlogacanthus thyrsiflorus Nees.-a medicinal plant of Assam, India. Biosci Discov 9.2: 237-43, 2018.
",Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011
ÊFenching phul,Phlogacanthus curviflorn,Acanthaceae,North-East India Medicinal Plants Database,"Cough
Fever",Leaves,Extract taken orally,Arunachal Pradesh,"Betulic acid
Lupeol
Phlogacanthollides B
Phlogacanthollides C
_-Sitosterol
_-daucosterol","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

 ","Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011.
"
Kala bashok,Justicia gendarussa,Acanthaceae,North-East India Medicinal Plants Database,Cough,Stem,Decoction taken orally,Tripura,"2-(methoxymethyl)aniline
2-Aminobenzyl alcohol
3beta-Hydroxy-20(29)-lupene
Friedlein
Phytosterols","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
Shada bashok,Justicia adhatoda,Acanthaceae,North-East India Medicinal Plants Database,"Cough/Cold
Fever
Malarial Fever",Leaves,Decoction taken orally,Manipur,"3-Deoxyvasicine
7- Hydroxyvasicine
Adhatodine
Anisotine
Apigenin
Astragalin
Betaine
Kaempferol
Quercetin
Quinazoline Alkaloid vasicine
Triterpines (A-Amirine)
Vasicinolone
Vasicol
Vasicoline
Vasicolinone
Vitexin","Kumar, H; et al. Barleria cristata: perspective towards phytopharmacological aspects. Journal of Pharmacy and Pharmacology 70.4: 475-487, 2018.

 ","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.
"
Sajhia,Barleria cristata,Acanthaceae,North-East India Medicinal Plants Database,Skin diseases,Whole plant,Decoction applied topically,Assam,"4-hydroxy-trans-cinnamate derivatives
4-hydroxycinnamic acid
4a, 5,6,7,7a-hexahydrocyclopetan pyran-4,7-dicaroxylate)
7-methoxy Luteolin
Acteoside
Apigenin
Apigenin-7-glucuronide
Barlerin
Desrhamnosyl Acteoside
Luteolin
Naringenin
Oleanolic acid
Poliumoside
Quercetin
Quercetin 3-b-D glucoside
Shanzhiside Methyl Ester
Shanzhiside Methyl Ester
a-tocopherol
barlacristone
barlerin (or dimethyl 5-hydroxy-7-methyl1-((2R, 3S, 4S, 6S)-3,4,5-tridroxy-6-(hydroxymethyl) tetrahydro-2H-pyran-2-yloxy)-1
cristabarlone
p-coumaric acid
_-Sitosterol","Kumar, H; et al. Barleria cristata: perspective towards phytopharmacological aspects. Journal of Pharmacy and Pharmacology 70.4: 475-487, 2018.

 ","Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
Boner kalomegh,Andrographis paniculata,Acanthaceae,North-East India Medicinal Plants Database,"Ulcerative colitis
Diarrhoea
Dysentery
Jaundice
Malarial Fever
Rheumatism
Stomachache",whole plant,Extract taken orally,"Arunachal Pradesh
Manipur
Mizoram
Tripura","14-Deoxy-11- Dehydroandrographo-Lide
Andrographine
Andrographolide
Neoandrographolide
Panicoline
Paniculide A
Paniculide B
Paniculide C","Roy, S; et al. Phytochemical analysis of Andrographis paniculata extract and its antimicrobial activity. World Journal of Microbiology and Biotechnology 26.1: 85-91, 2010.","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
Asuru,Adhatoda vasica,Acanthaceae,North-East India Medicinal Plants Database,"Cough/Cold
Cuts and wounds
Dysentery
joint pain
Lumber pain
Vomiting",Aerial Parts,Paste applied topically,"Assam
Mizoram
Nagaland
Sikkim
Tripura","1,2,3,9-tetrahydro-5-methoxy-pyrrolo[2,1-b]quinazoline-3-ol
1,2,3,9-tetrahydropyrrolo(2,1-b)-quinazolin-9-one-3Rhydroxy-3(2-dimethylamino phenyl (desmethoxyaniflorine)
29-methyltriacontan-1-ol
2Õ,4-dihydroxychalcone-4-O-_-D-glucopyranoside
2Õ-glucosyl-4-hydroxyl-oxychalcone
2Ó-O-xylosylvitexin
3-hydroxyanisotine
3-methylheptanone
37-hydroxy-hentetracontan-19-one
37-hydroxy-hexatetracont-1-en-15-one
3_-hydroxy-D-friedoolean-5-ene
3_-hydroxy-oleanane-5-ene
4-heptanone
5-methoxyvasicinone
7-methoxy-3R-hydroxy-1,2,3,9-tetrahydropyrrolo-[2,1-b]-quinazolin-9-one(7-methoxy-vasicinone)
7-methoxyvasicinone hydrate
9-Acetamido-3,4-Dihydropyrido-(3,4-B)-Indole
Adhatodic Acid
Adhatodine
Adhatonine
Adhavasinone
Amino-N-Butyric Acid
Anisotine
Apigenin
Astragalin
Betaine
D-galactose
D-glucoside
Daucosterol
Deoxyvasicine
Deoxyvasicinone
Isovitexin
Kaempferol
L-Vasicinone
L-Vasicol
Maiontone
N-oxides and glycosides of vasicine
N-oxides and glycosides of vasicinone
O-ethyl-_-D-galactoside
Peganidine
Proline
Quercetin
Rhamnosyl vitexin
Serine
Sitosterol
Sitosterol-_-D-glucoside
Tritriacontane
Valine
Vasakin
Vasicine
Vasicinol
Vasicinolone
Vasicinone
Vasicol
Vasicoline
Vasicolinone
Vasinol
Vasnetine
Violanthin
Vitexin
epitaraxerol
glycine
hydroxyl oxychalcone
_-amyrin
_-Sitosterol-D-glucoside
_-carotene
_-glucoside-galactose","Singh, P; Singh, T, O, M; Huidrom B Singh, H,B; Adhatoda vasica Nees: phytochemical and pharmacological profile. The Natural Products Journal 1.1: 29-39, 2011.

 ","Bora. U; et al. Medicinal Plants used by the People of Northeast India for Curing Malaria, Phytotherapy Research, 21, 800-804, 2007."
Tefiidziirie (Angami),Thunbergia coccinea,Acanthaceae,North-East India Medicinal Plants Database,Womb disorders,Tuber,Extract taken orally,Nagaland,Wallichinine,"U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279

 ","Chase. P.E; Singh. O.P. Ethnomedicinal plants used by Angami tribe of Nagaland, India. Indian Journal of Tropical Biodiversity. (1):29-42, 2013."
Vako,Thunbergia gramndiflora,Acanthaceae,North-East India Medicinal Plants Database,"Jaundice
Kidney disorder",Root,Paste taken orally,Mizoram,"(E) 3 - Eicosene
(Z) 7 tetradecenal
(Z) 9,17 octadecadienal
(Z) Ð 13- octadecenal
1 - hexadecanol
1 Ð (2,6,6 Ð trimethyl Ð 1,3,cyclohexa Ð 2 Ð buten Ð 1 Ð one
1,3,3 -trimethylbicyclo [2.2.1] heptane
2 ethyl hexyl isohexylsulphurate
2 Ð (41 Ð methoxyphenyl ) Ð 2- (31 Ð methyl - 41methoxyphenyl) propane
2 Ð chloroethyllinoleate
2 Ð formyl methyl Ð 4,6,6 Ð bicyclo [3.1.1] hept Ð 3 Ð ene
2 Ð methoxy - 3- (2 Ð propenyl) phenol
2,21, 5, 51, tetramethyl 1,11-biphenyl tetradecenal
2,3 dihydro -1,1-dimethyl 1H indene Ð 4 Ð carboxylic acid
2,7 dimethyl octane
3 - octanol
3,3 Ð dimethyl hexane
3,7 dimethyl 1,6 Ð octadien - 3 Ð ol
4 Ð (2,2- dimethyl Ð 6- methylene cyclo Ð 3 Ð buten Ð 2 -one
4 Ð (2,6,6, - trimethyl Ð 1- cyclohexen Ð 3- buten Ð 2 Ð one
6,10,14, - trimethyl Ð 2- pentadecanone
9, 10 Ð dihydodiethyl Ð anthracene Ð 9,10 Ð biimine Ð11,12- dicarboxylate
Benzo[b] thiophene Ð 3 Ð carboxylic acid
Caffeic Acid
Cis Ð 9 - hexadecenal
Decyl -2- ethyl hexyl sulphurate
Ethyl hexadecanoate
Hexadecanal
Isoquercetrin
Kaempferide 3-O- _-L-arabinofuranoside
Kaempferol
Kaempferol-3-O-_-L-rhamnopyranoside
Kaempferol-6-C-sophoroside
Methyl 11,14,17,Eicosatrienoate
Methyl salicylate
Nonylcyclopropane
Phytol
Quercetin
Quercetin-3-O-Rutinoside-7-O-_-Lrhamnopyranoside
Quercetrin
hexadecane
i Ð propyl hexadecanoate
n Ð hexadecanoic acid
n Ð pentadecanol
pentadecanal
_ phenylethylbutanoate","brahim, M, T; Phytochemical and biological investigation of Thunbergia grandiflora. J. Pharmacol. Phytochem 6: 43-51, 2017.

 ","Shankar.R; et al. Medicinal plants used in traditional medicine in Mizoram, World Journal of Science and Technology, 2(12):42-45, 2012."
Sohliang," Gynocardia odorata
 ",ÊAchariaceae,North-East India Medicinal Plants Database,"Leprosy
lupus
Nausea
Rheumatism
scrofula
Skin diseases
Toothache",Seed,Taken orally,Meghalaya,"Alkaloid
Carbohydrate
Fixed Oil
Flavonoids
Glycosides
Protein
Saponins
Tannins
Triterpenoids","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

 ","Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005."
ÊThemeprii (Angami),Acorus calamus,Acoraceae,North-East India Medicinal Plants Database,"Diarrhoea
Dysentery
Flatulence
Headache
Influenza",Rhizome,Decoction taken orally,Nagaland,"Eugenol
Tetraploid A
Triploid
_-asarone
_-asarone","Chandra, D; Kundan, P; Phytochemicals of Acorus calamus (Sweet flag). Journal of Medicinal Plants Studies 5.5: 277-281, 2017.
","Das. T; et al. Ethnobotanical Survey of Medicinal Plants Used by Ethnic and Rural People in Eastern Sikkim Himalayan Region, African Journal of Basic & Applied Sciences 4 (1): 16-20, 2012."
Khokochor,"Adiantum philippense
 ",ÊAdiantaceae,North-East India Medicinal Plants Database,"
abortifacient
Bone fracture",Leaves,Paste applied topically,Meghalaya,"3_-Acetoxy-21_-H-hop-22(29)ene
3_-Acetoxy-6_-hydroxy-hop-15, 17(21)-diene
6_-Acetoxy-16_,22-dihydroxy-3-ketoiso-hopane","Brahmachari, G., et al. Phytochemicals and biological activities of Adiantum species. Journal of scientific and industrail research, 2003.

 ","Das. B; et al. A few traditional medicinal plants used as antifertility agents by ethnic people of Tripura, India, Int J Pharm Pharm Sci, 6(3), 47-53, 2014."
ÊKouthum,Alisma plantago,Alismtaaceae,North-East India Medicinal Plants Database,Opium poisoning,Leaves,Extract taken orally,Manipur,"(E)-cinnamoyl
3,4-Dihydroxyphenyl acetic acid
3,4-dihydroxyphenyl
5_,29-Dihydroxy alisol A
Alisol W
Alisolide A
Alisolide B
Alisolide C
Alisolide D
Alisolide E
Alisolide F
Alisolide G
Alisolide H
Alisolide I
Ferulic Acid
Plantain A
Rosmarinic Acid
Rynchopeterine A
Rynchopeterine B
Salvianolic Acid C
Vanillic Acid
cis-2,4,5-Trihydroxycinnamic acid
cis-Aconitic anhydride Ethyl Ester
dihydrofuran","Huang, Y; et al. Phenolic constituents from Alisma plantago-aquatica Linnaeus and their anti-chronic prostatitis activity. Chemistry Central Journal 11.1: 1-5, 2015.

 ","Meetei. S. Y; Singh. P. K; Survey for Medicinal Plants of Thoubal District, Manipur. Flora and Fauna 13 (2) 355-358, 2007."
Roshun,Allium sativum,ÊAlliaceae,North-East India Medicinal Plants Database,"
Cough/Cold
Headache
Hypertension",Bulb,Paste applied topically,Tripura,"
Ajoene
Allicin
Alliin
Diallyl Sulphate","Phan, A; et al. Phytochemical characteristics and antimicrobial activity of Australian grown garlic (Allium sativum L.) cultivars. Foods 8.9: 358, 2019.
","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
Thezute (Angami),Deeringia amaranthoides,ÊAmaranthaceae,North-East India Medicinal Plants Database,"Pain
Wounds",Leaves,Paste applied topically,Nagaland,Merremoside,"U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279","Chase. P.E; Singh. O.P. Ethnomedicinal plants used by Angami tribe of Nagaland, India. Indian Journal of Tropical Biodiversity. (1):29-42, 2013.
"
Luruyongpi (Sangtam),Celosia cristatae,Amaranthaceae,North-East India Medicinal Plants Database,"Diarrhoea
Menstrual disorder
Urinary disorder",Fruit,Taken orally,Nagaland,"Amaranthin betacyanin
Arsenic
Betanin
Betaxanthin
Calcium
Celosianin II
Copper
HYALURONIC ACID
Iron
Isoamaranthin
Isocelosianin I
Magnesium
Manganese
Mercury
Potassium ion
ferulic acid","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018","Sangtam, T. L; et al. International Journal Of Ayurvedic And Herbal Medicine 2: 2, 267: 275, 2012."
Kaitha kuthura,Amaranthus spinosus,,North-East India Medicinal Plants Database,"Dysentery
Leprosy
Piles
Skin diseases",Stem,Decoction taken orally,Assam,"Alpha spinasterol
Assamicin
Campesterol
Cholesterol
Hentriacontane
Linoleic Acid
Oleic Acid
Rutin
Stearic acid
Stigmasterol
n-alkanes","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.
","Purkayatha.J; et al. Ethnobotany of medicinal plants from Dibru-Saikhowa Biosphere Reserve of Northeast India, Fitoterapia 76, 121 Ð 127, 2005."
Panimati kaduri,Alternanthera philoxeroides,Amaranthaceae,North-East India Medicinal Plants Database,Anaemia,Shoot,Decoction taken orally,Assam,"1,2-Epoxy-1,2,5.9,9-pentamethyl-spiro(3.5)non-5-ene
1,25-dihydroxycholecalciferol
2-Heptanone
3,5-bis(1,1-dimethylethyl)-4-hydroxy- Methyl Ester
3-hydroxy-Methyl Ester, (3beta).
3beta,5alpha,22E, Urs-12-en-28-oic acid
4-(1,1-dimethylethyl)-p-tert-butylphenol
Benzenepropanoic acid
D-Glucose,6-O-alpha-D-galactopyranosyl-bis-O-(trimethylsilyl) derive
Ergosta-7,22-dien-3-ol
Nonyl-phenol mix of isomers
Palmitic acid
Phenol
Phenol
Stearic acid
cyclic tris(methylboronate)-melibiose-tri-met
nonyl-nonylphenol","Kumar, V; et al. Phytochemical Profiling of Methanolic extracts of medicinal plants using GC-MS. International Journal of Research and Development in Pharmacy & Life Sciences 5.3: 2153-2158, 2016.","Purkayatha.J; et al. Ethnobotany of medicinal plants from Dibru-Saikhowa Biosphere Reserve of Northeast India, Fitoterapia 76, 121 Ð 127, 2005."
odine pata,Aerva sanguinolenta,,North-East India Medicinal Plants Database,Cuts and wounds,Leaves,ÊPaste applied topically,Tripura,"Amaranthine
Ameroterpene
Bakuchiol
Celosianin I
Celosianin I
Isoamaranthin","Sarker, J; et al. The plant Aerva sanguinolenta: A review on traditional uses, phytoconstituents and pharmacological activities. Pharmacognosy Reviews 13.26: 89, 2019.
","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
apang,Achyranthes aspera,Amaranthaceae,North-East India Medicinal Plants Database,"Boils
Epilepsy
Menstrual disorder
Pneumonia",Root ,Paste applied topically,,"6-pentatriacontanone
Achyranthine
D-Glucuronic Acid
Hexatriacontane and Tritriacontane
Pentatriaontane
_-L-rhamnopyranosyl-(1-4)-(_-Dglucopyranosyluronicacid)-(1-3)-Oleanolic Acid-28-O-_-D-glucopyranoside
_-L-rhamnopyranosyl-(1-4)-(_-Dglucopyranosyluronicacid)-(1-3)-Oleanolic Acid-28-O-_-D-glucopyranosyl-(1-4)-_glucopyranoside)
_-L-rhamnopyranosyl-(1-4)-(_Dglucopyranosyluronicacid)-(1-3)-oleanolic acid
_-D-galactopyranosyl ester of D Glucuronic Acid","Singh, N; et al., A Review on Pharmacological Aspects of Achyranthes Aspera. Int. J. Pharmacogn Chinese Med. 3.4: 000188, 2019.
","Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
Gruna,Crinum latifolium,Amaryllidaceae,North-East India Medicinal Plants Database,Chest pain,Bulb,Extract taken orally,Tripura,"(+)-Catechin-3-O-Alpha-L-Rhamnopyranoside
(+)-Catechin-7-L-Arabinoside
(+)-Leucocyanidin
(+)-Limonene
(+)-Longiborneol
(+)-Lupanine
(+)-S-Methyl-L-Cysteine-Sulfoxide
(11E,13R)-Labda-11,14-Diene-8,13-Diol
(11E,13S)-Labda-11,14-Diene-8,13-Diol
(13e)-Acetoxy-13-Labden-8-Ol
(D,L)-Borrerine
(D,L)-Maackiain
1,5-Dihydroxy-8-Methoxy-2-Methylanthraquinone-3-O-Alpha-L...
1-Epi-Ludovicin-C
1-Mono-Linolein
1-Rhamnono-1,4-Lactone
14,15-Dihydroxy-Labda-8(17),13(16)-Dien-19-Acid
14-Dien
15,19-Dihydroxylabda-8(9)-13(14)E-Dien-17-Al-6alpha-O-Alpha-L-Arabinopyranoside
15-Hydroxy-7-Labden-6-One
15-Nor-8-Labdanol
15-Nor-8alpha-Hydroxy-12e-Labden-14-Ol
17-Alpha-Digitoxigenin-Beta-D-Glucosyl-Alpha-L-Cymaroside
6)Beta-D-Glucoside
6-Beta-7-Beta-Diacetoxy-13-Hydroxy-Labda-8
Conjugated-Linoleic-Acid
Conjugated-Linolenic-Acid
D,L-Aminobutyric-Acid
D,L-Catechin
D-L-Alpha-Ionone
D-L-Nonacosanol
D-L-Pinene
D-Linalool
Digitoxigenin-Gentiobiosyl-Alpha-L-Cymaroside
Dihydro-Dehydrocostus-Lactone
Dihydro-Limonene-10-Ol
Dihydrocostus-Lactone
Diosgenin-3-O-Alpha-L-Arabinofuranosyl-(1->4)-Beta-D-Glucopyranoside
Diosgenin-3-O-Alpha-L-Rhamnopyranosyl-(1->2)-Beta-D-Glucopyranoside
Diosmetin-7-O-Alpha-L-Rhamno-Glucoside
Dl-Lactic-Acid
Dl-Limonene
Dl-Linalool
Dl-Lobeline
Eriodictyol-7-O-Alpha-L-Arabinofuranosyl-(1,6)-Beta-D-Glucoside
Kaempferol-3-Alpha-L-Arabofuranoside-7-Alpha-L-Rhamnofuranoside
Kaempferol-3-O-Alpha-L-Arabofuranoside
Kaempferol-3-O-Alpha-L-Galactoside
Kaempferol-3-O-Alpha-L-Rhamnofuranoside
Kaempferol-3-O-Alpha-L-Rhamnoside-Beta-D-Glucosyl...Pl
Kaempferol-3-Rutinosyl-7-O-Alpha-L-Rhamnoside
Kaempferol-7-Alpha-L-Rhamnofuranoside
Kaempferol-7-Alpha-L-Rhamnopyranoside
Kaempferol-7-Beta-L-Rhamnofuranoside
Kaempferol-7-Beta-L-Rhamnopyranoside
Kaempferol-7-O-Alpha-L-Rhamnofuranoside
Kaempferol-7-O-Beta-D-Glucoside-O-Alpha-L-Rhamnosyl...Pl
L(+)-Tyrosine
L-(+)-2-Aminobutyric-Acid
L-(+)-Acetylhomoserine
L-(+)-Bornesitol
L-(+)-Homoserine
L-(+)-Isoleucine
L-(+)-Norleucine
L-(+)-Quercitol
Luteolin-6-C-(2'-O-Trans-Caffeoylglucoside)
Luteolin-6-C-(4'-Methyl-6'-O-Trans-Caffeoylglucoside)
Luteolin-6-C-(6'-O-Trans-Caffeoylglucoside)
Luteolin-7-O-(6'-P-Benzoylglucoside)
N-N-Dimethyl-Leucine
Quercetin-3
Threono-1,4-Lactone
d-limonene
 (+)-L-Lactic-Acid
 (+)-Launobine
 (+)-Leucodelphinidin
 (+)-Magnesium-Lactate
 (-)-Lobeline
 (E)-Linalool-Oxide
 Nerol-6-O-Alpha-L-Arabinofuranosyl-Beta-D-Glucopyranoside
 Nerol-6-O-Alpha-L-Rhamnopyranosyl-Beta-D-Glucopyranoside
 Quercetin-3-Alpha-L-Arabinopyranoside
 Quercetin-3-O-Beta-L-Rhamnoside
 Quercetin-3-O-[6'-Alpha-L-Rhamnosyl-6'-Beta-D-Glucosyl]-Beta-Dd-Glucoside
 Quinovic-Acid-3-Beta-O-Alpha-L-Rhamnopyranoside
 Trans-Ligustilide
 Trans-Limonene-Diepoxide
 Vitexin-8-C-Alpha-L-Rhamnosyl-Beta-D-Glucoside","U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279
","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.
"
Khe-u,Melanorrhoea usitata,Anacardiacea,North-East India Medicinal Plants Database,"Helminthiasis
Leprosy",Latex,Taken orally,Manipur,,,"Meetei. S. Y; Singh. P. K; Survey for Medicinal Plants of Thoubal District, Manipur. Flora and Fauna 13 (2) 355-358, 2007"
Theihai,Mangifera indica,Anacardiaceae,North-East India Medicinal Plants Database,"
Asthma
Diarrhoea
Toothache",Root , Extract taken orally,,"1,3,6-tri-O-galloyl-beta-D-glucose
25-Triol
3_-cycloartane-3,29-diol
Benzophenones [3-glucosylmaclurin
Catechin
Cycloart-25-Ene-3,24,27-Triol
Cycloartane-3,24,25-Triol
Derivative of Theogallin
Ellagic Acid
Epicatechin Gallate
Ferulic Acid Hexoside
Flavonols
Gallic Acid
Gallotannins Digalloyl Glucoside
Hyperin
Iriflophenone 3-C-_-D-glucopyranoside
Iriflophenone Glucoside Derivative]
Iriflophenone Tri-O-Galloylglucoside
Iriflophenone-Di-O-Galloyl Glucoside
Isomangiferin
Isoquercitin
Kaempferol 3-O-Rutinoside
Kainic Acid
Lupeol
Maclurin
Maclurin 3-C-(60 -O-phydroxybenzoyl) _-D-glucoside
Maclurin 3-C-(6Ó-O-p-hydroxybenzoyl)_-D-glucoside
Maclurin 3-C-_-D-glucoside
Maclurin Mono-O-Galloylglucoside
Maclurin di-O-galloylglucoside
Mangiferin 3-Methyl Ether
Mangiferin-60 -O-Gallate
Mangiferonic Acid
Manglanostenoic Acid
Methyl Gallate
Norathyriol
Pentagalloyl Glucose
Phenolic Compounds
Protacatechuic Acid
Protocatechuic Acid
Quercetin
Quercetin 3-O-Rhamnoside
Quercetin 3-O-glucoside
Quercetin carboxylic acid
Quercetin pentoside
Rhamnetin
Rhamnetin Hexoside)
Shikimic Acid
Sodium Gallate
Terpenoids (3,27-dihydroxycycloart-24-en-26-oic acid
Tetra-O-Galloyl Glucoside
Tetrahydroxy Sodium Benzoate)
Theogallin
Xanthones (Mangiferin","Maldonado-Celis, M, E; et al. Chemical composition of mango (Mangifera indica L.) fruit: Nutritional and phytochemical compounds. Frontiers in plant science 10: 1073, 2019.","Shankar.R; et al. Medicinal plants used in traditional medicine in Mizoram, World Journal of Science and Technology, 2(12):42-45, 2012."
